Method,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Irrig,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_end
DSR,1989,135,1989-07-15,madDs,0.47,607.941,650.818,649.324,278.908,370.416,518.923,4.575,410.097,826.837,1074.887,35,23.624,69.151
DSR,1989,135,1989-07-01,mad,0.06,642.564,639.666,599.095,258.163,340.932,255.412,2.274,444.865,444.409,577.731,43,10.335,35.314
DSR,1989,135,1989-07-15,mad,0.06,607.941,635.215,596.068,263.304,332.764,279.121,2.508,410.097,505.64,657.332,49,10.319,41.014
DSR,1989,145,1989-05-15,madDs,0.75,837.474,834.466,827.282,403.423,423.859,577.12,4.316,483.44,973.668,1265.769,29,33.575,53.469
DSR,1989,145,1989-05-15,madDs,0.94,837.474,800.366,789.348,369.323,420.025,497.867,3.825,483.44,840.871,1093.132,22,38.221,37.859
DSR,1989,145,1989-05-15,madDs,0.47,837.474,872.269,867.571,441.226,426.345,588.416,4.207,483.44,1025.101,1332.632,41,25.002,53.317
DSR,1989,145,1989-06-01,madDs,0.75,771.626,797.497,791.474,378.602,412.873,552.431,4.044,489.67,916.453,1191.389,27,33.943,62.86
DSR,1989,145,1989-06-01,madDs,0.47,771.626,808.248,803.625,389.353,414.272,606.781,4.443,489.67,982.799,1277.638,37,26.562,62.705
DSR,1989,145,1989-06-01,madDs,0.94,771.626,760.835,753.588,341.94,411.648,551.283,4.316,489.67,880.593,1144.771,23,38.287,66.035
DSR,1989,145,1989-05-15,mad,0.06,837.474,850.672,793.726,419.629,374.097,262.735,1.918,483.44,601.848,782.402,45,13.374,29.589
DSR,1989,145,1989-06-15,madDs,0.94,721.803,732.613,724.92,319.637,405.283,470.012,3.855,476.742,766.392,996.309,20,38.32,48.648
DSR,1989,145,1989-06-15,madDs,0.75,721.803,757.454,753.441,344.478,408.963,514.173,4.179,476.742,847.42,1101.646,27,31.386,56.994
DSR,1989,145,1989-06-01,mad,0.06,771.626,766.014,721.173,347.119,374.054,264.734,1.972,489.67,528.53,687.089,46,11.49,32.936
DSR,1989,145,1989-06-15,madDs,0.47,721.803,768.862,766.384,355.886,410.498,581.536,4.673,476.742,937.273,1218.455,38,24.665,66.542
DSR,1989,145,1989-07-01,madDs,0.75,677.884,715.481,710.909,311.57,399.34,524.388,4.305,445.29,852.851,1108.706,26,32.802,63.391
DSR,1989,145,1989-07-01,madDs,0.47,677.884,721.132,719.179,317.22,401.959,527.486,4.437,445.29,867.783,1128.118,37,23.454,66.956
DSR,1989,145,1989-06-15,mad,0.06,721.803,724.154,678.311,311.177,367.134,285.52,2.259,476.742,520.845,677.099,48,10.851,34.202
DSR,1989,145,1989-07-01,madDs,0.94,677.884,692.268,684.667,288.356,396.31,489.606,3.992,445.29,768.804,999.445,20,38.44,40.368
DSR,1989,145,1989-07-15,madDs,0.94,633.117,658.821,653.854,272.899,380.955,471.493,3.868,410.097,788.903,1025.574,20,39.445,74.192
DSR,1989,145,1989-07-15,madDs,0.75,633.117,672.801,669.528,286.879,382.649,501.374,4.313,410.097,832.091,1081.719,25,33.284,71.75
DSR,1989,145,1989-07-15,madDs,0.47,633.117,681.321,679.806,295.399,384.407,532.913,4.524,410.097,876.347,1139.252,37,23.685,74.265
DSR,1989,145,1989-07-01,mad,0.06,677.884,678.741,635.998,274.829,361.169,270.036,2.119,445.29,494.068,642.289,49,10.083,33.872
DSR,1990,120,1990-05-15,madDs,0.94,717.003,673.475,667.824,320.549,347.275,422.519,4.089,477.48,689.79,896.728,18,38.322,77.914
DSR,1990,120,1990-05-15,madDs,0.75,717.003,709.198,703.232,356.272,346.96,492.471,4.611,477.48,789.429,1026.258,24,32.893,71.989
DSR,1990,120,1990-05-15,madDs,0.47,717.003,754.793,748.551,401.867,346.685,560.832,5.198,477.48,903.267,1174.247,34,26.567,72.146
DSR,1989,145,1989-07-15,mad,0.06,633.117,665.17,625.792,279.248,346.544,280.826,2.49,410.097,542.641,705.433,53,10.239,46.585
DSR,1990,120,1990-06-01,madDs,0.75,634.347,649.893,643.21,319.258,323.952,504.767,4.952,477.48,732.78,952.613,22,33.308,63.31
DSR,1990,120,1990-06-01,madDs,0.94,634.347,608.343,601.157,277.709,323.448,418.875,4.405,477.48,600.906,781.178,16,37.557,59.381
DSR,1990,120,1990-06-01,madDs,0.47,634.347,651.201,646.112,320.567,325.545,547.724,5.46,477.48,781.719,1016.235,29,26.956,66.391
DSR,1990,120,1990-05-15,mad,0.06,717.003,716.58,683.597,363.654,319.943,167.637,1.397,477.48,447.557,581.825,29,15.433,74.695
DSR,1990,120,1990-06-01,mad,0.06,634.347,618.385,592.357,287.75,304.607,134.857,1.129,477.48,282.57,367.341,22,12.844,33.862
DSR,1990,120,1990-06-15,madDs,0.47,555.67,572.756,570.004,259.233,310.771,503.602,5.147,484.617,662.537,861.298,25,26.501,74.365
DSR,1990,120,1990-06-15,madDs,0.75,555.67,564.723,561.042,251.2,309.841,459.978,4.637,484.617,603.788,784.924,17,35.517,68.163
DSR,1990,120,1990-06-15,madDs,0.94,555.67,554.925,549.233,241.402,307.83,451.808,4.763,484.617,566.965,737.055,14,40.498,51.32
DSR,1990,120,1990-07-01,madDs,0.75,523.97,551.786,549.778,240.217,309.561,391.703,4.21,426.05,565.264,734.844,17,33.251,49.833
DSR,1990,120,1990-07-01,madDs,0.47,523.97,555.122,554.34,243.553,310.787,468.926,4.666,426.05,653.74,849.862,26,25.144,56.524
DSR,1990,120,1990-07-01,madDs,0.94,523.97,542.061,539.358,230.492,308.865,303.872,3.355,426.05,463.529,602.588,12,38.627,46.349
DSR,1990,120,1990-06-15,mad,0.06,555.67,543.667,523.022,230.145,292.877,151.882,1.388,484.617,228.68,297.283,24,9.528,39.171
DSR,1990,120,1990-07-15,madDs,0.75,522.746,548.548,545.815,231.172,314.643,378.193,4.617,397.338,570.565,741.735,16,35.66,44.284
DSR,1990,120,1990-07-15,madDs,0.47,522.746,554.594,553.516,237.218,316.298,471.579,5.319,397.338,693.387,901.403,27,25.681,66.019
DSR,1990,120,1990-07-01,mad,0.06,523.97,539.397,517.107,227.828,289.279,148.566,1.443,426.05,273.6,355.68,31,8.826,33.977
DSR,1990,120,1990-07-15,madDs,0.94,522.746,542.099,539.107,224.723,314.384,277.513,3.392,397.338,467.117,607.252,11,42.465,48.224
DSR,1990,120,1990-07-15,mad,0.06,522.746,536.911,510.27,219.535,290.735,176.426,2.063,397.338,322.644,419.438,36,8.962,33.675
