ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
57,Rice,2013,120,2013-05-11,madDs,0.75,697.302,739.913,733.469,395.65,337.819,403.966,3.342,523.56,0.0,678.177,0.0,881.63,24,28.257,0.0,64.959,0.262
57,Wheat,2013,125,2013-09-18,mad,0.5,416.449,355.835,354.727,68.082,286.646,22.356,0.008,80.743,0.0,309.036,0.0,401.747,5,61.807,0.0,63.93,0.207
58,Rice,2014,120,2014-05-11,madDs,0.75,754.975,774.369,765.36,381.36,384.0,189.209,1.566,161.72,0.0,899.274,0.0,1169.057,29,31.009,0.0,108.321,0.334
58,Wheat,2014,125,2014-09-18,mad,0.5,461.296,383.749,383.219,74.236,308.983,0.0,0.0,24.71,0.0,350.42,0.0,455.546,7,50.06,2.624,46.98,0.193
59,Rice,2015,120,2015-05-11,madDs,0.75,710.167,724.396,714.762,364.723,350.04,298.743,2.474,308.71,0.0,744.297,0.0,967.585,25,29.772,0.0,40.187,0.221
59,Wheat,2015,125,2015-09-18,mad,0.5,450.196,347.161,346.296,50.031,296.266,15.519,0.002,29.49,0.0,300.403,0.0,390.524,5,60.081,0.0,19.907,0.17
61,Rice,2017,120,2017-05-11,madDs,0.75,698.072,734.414,727.481,371.635,355.846,244.865,2.026,355.008,0.0,698.522,0.0,908.079,24,29.105,0.0,82.074,0.291
61,Wheat,2017,125,2017-09-18,mad,0.5,456.958,350.019,348.816,52.123,296.693,29.555,0.007,45.203,0.0,300.403,0.0,390.524,5,60.081,0.0,17.658,0.169
60,Rice,2016,120,2016-05-11,madDs,0.75,705.79,734.381,726.525,382.224,344.301,233.675,2.011,282.944,0.0,761.867,0.0,990.427,25,30.475,0.0,85.498,0.296
60,Wheat,2016,125,2016-09-18,mad,0.5,463.628,369.198,368.23,44.257,323.973,51.76,0.001,60.952,0.0,371.081,0.0,482.405,6,61.847,0.0,62.833,0.206
62,Rice,2018,120,2018-05-11,madDs,0.75,710.917,756.41,748.535,411.851,336.684,329.248,2.723,484.475,0.0,683.992,0.0,889.189,24,28.5,0.0,91.755,0.307
62,Wheat,2018,125,2018-09-18,mad,0.5,409.912,320.085,318.874,48.681,270.192,115.186,0.271,134.318,0.0,304.911,0.0,396.384,5,60.982,0.0,56.948,0.201
63,Rice,1988,120,1988-05-11,madDs,0.94,745.389,696.525,688.865,348.136,340.729,604.922,5.004,714.73,0.0,624.601,0.0,811.981,18,34.7,0.0,46.351,0.231
63,Wheat,1988,125,1988-09-18,mad,0.5,428.578,355.359,354.395,61.01,293.385,355.847,0.765,417.241,0.0,303.989,0.0,395.185,5,60.798,0.0,63.378,0.207
64,Rice,1989,120,1989-05-11,madDs,0.94,741.631,728.697,716.731,347.5,369.231,453.233,3.751,483.44,0.0,777.665,0.0,1010.965,22,35.348,0.0,92.419,0.308
64,Wheat,1989,125,1989-09-18,mad,0.5,455.358,352.673,351.723,63.566,288.157,0.0,0.001,19.089,0.0,322.43,0.0,419.159,6,53.738,0.024,40.837,0.188
66,Rice,1991,120,1991-05-11,madDs,0.94,783.308,773.611,759.216,363.029,396.187,379.541,3.142,379.55,0.0,851.457,0.0,1106.894,23,37.02,0.0,93.365,0.309
66,Wheat,1991,125,1991-09-18,mad,0.5,471.179,361.649,360.543,62.322,298.221,0.0,0.0,29.374,0.0,312.551,0.0,406.316,6,52.092,0.124,33.551,0.182
65,Rice,1990,120,1990-05-11,madDs,0.94,729.395,688.225,682.362,326.494,355.868,295.324,2.444,455.527,0.0,622.195,0.0,808.854,17,36.6,0.0,132.84,0.375
65,Wheat,1990,125,1990-09-18,mad,0.5,431.053,347.057,347.057,44.668,302.389,7.167,0.001,49.869,0.0,301.971,0.0,392.562,5,60.394,6.724,57.078,0.201
67,Rice,1992,120,1992-05-11,madDs,0.94,739.781,737.913,728.373,376.924,351.45,145.668,1.209,255.841,0.0,716.512,0.0,931.466,22,32.569,0.0,99.775,0.32
67,Wheat,1992,125,1992-09-18,mad,0.5,446.87,360.755,360.004,66.012,293.992,0.0,0.0,33.362,0.0,317.579,0.0,412.853,6,52.93,1.224,43.069,0.19
69,Rice,1994,120,1994-05-11,madDs,0.94,711.884,669.063,662.234,332.976,329.258,622.777,5.151,747.112,0.0,636.252,0.0,827.128,18,35.347,0.0,99.744,0.32
69,Wheat,1994,125,1994-09-18,mad,0.5,449.7,359.101,358.31,63.085,295.225,2.12,0.001,59.455,0.0,317.856,0.0,413.213,6,52.976,1.224,68.894,0.211
68,Rice,1993,120,1993-05-11,madDs,0.94,770.42,758.805,747.095,360.617,386.478,359.512,2.977,440.413,0.0,763.002,0.0,991.902,22,34.682,0.0,98.19,0.318
68,Wheat,1993,125,1993-09-18,mad,0.5,460.944,368.529,367.779,45.537,322.241,17.599,0.001,29.177,0.0,372.403,0.0,484.124,6,62.067,1.024,68.793,0.211
70,Rice,1995,120,1995-05-11,madDs,0.94,779.256,758.153,748.137,394.254,353.883,623.102,5.153,771.277,0.0,724.55,0.0,941.915,21,34.502,0.0,157.394,0.416
70,Wheat,1995,125,1995-09-18,mad,0.5,470.768,354.612,354.612,34.577,320.035,0.0,0.0,56.392,0.0,294.62,0.0,383.006,5,58.924,10.824,59.495,0.203
71,Rice,1996,120,1996-05-11,madDs,0.94,656.234,626.682,621.527,302.739,318.788,361.007,2.989,458.675,0.0,636.554,0.0,827.52,18,35.364,0.0,116.55,0.348
71,Wheat,1996,125,1996-09-18,mad,0.5,480.644,415.8,415.625,69.448,346.176,0.564,0.0,43.739,0.0,330.224,0.0,429.291,6,55.037,4.024,14.846,0.166
72,Rice,1997,120,1997-05-11,madDs,0.94,693.954,702.867,695.148,351.298,343.85,325.683,2.695,524.119,0.0,595.303,0.0,773.894,18,33.072,0.0,100.093,0.321
72,Wheat,1997,125,1997-09-18,mad,0.5,365.801,303.618,302.889,83.676,219.213,56.968,0.001,205.515,0.0,117.922,0.0,153.298,3,39.307,1.324,15.09,0.166
