DATE,SRAD,TMAX,TMIN,TAVG,VAPR,TDEW,RHMAX,WNDSP,RAIN,ETREF
1979-06-24,24.2576,37.9243,28.1446,32.124,3.0308,50.6092,63.756,4.2019,0.0,8.094351306255065
1979-06-25,22.1094,39.6844,28.0117,34.2349,3.0865,53.1925,57.7467,2.8655,0.0,7.273117245873642
1979-06-26,21.3437,37.4644,29.1503,33.1151,3.0629,51.8571,60.5171,2.9738,0.0,6.904304652644106
1979-06-27,21.4807,39.0056,30.6134,34.7824,2.9802,53.1477,53.6707,2.1239,0.0,6.803985971237142
1979-06-28,20.5185,41.1268,30.2934,35.7185,3.0707,54.6867,52.9324,3.183,0.0,7.850387587164516
1979-06-29,19.8798,41.9021,28.1851,35.6182,3.1215,54.8765,54.7028,3.2427,0.0,7.690498031643413
1979-06-30,18.1877,39.626,28.9533,34.1551,3.0284,52.7658,56.8377,2.9551,0.0,6.8365507367038525
1979-07-01,21.621,40.2149,29.2391,35.1964,2.8602,52.8525,50.7322,3.3938,0.0,8.107412246945055
1979-07-02,21.1518,38.3001,27.8885,32.9471,2.7368,49.6773,54.5302,2.7703,0.0,7.0881528484801235
1979-07-03,18.0873,36.2416,26.5708,31.7663,2.8358,49.049,60.8222,2.63,0.0,5.8453380055236925
1979-07-04,21.9692,37.5021,25.981,31.4566,3.0435,49.9705,66.8031,2.3838,0.0,6.3044673111736715
1979-07-05,19.2998,36.1148,26.6301,31.244,3.0728,49.9138,68.0562,2.3514,0.0,5.619519447919432
1979-07-06,23.1054,40.4298,28.5556,34.8989,3.0658,53.7816,55.885,1.8255,0.0,6.815665660596256
1979-07-07,22.8014,41.6019,30.3658,36.0637,3.0602,54.9941,52.2388,2.0695,0.0,7.311800899545966
1979-07-08,22.1695,41.7136,29.5124,35.9003,3.4118,56.7998,58.5484,3.3374,0.0,7.932482151226666
1979-07-09,18.997,39.0532,26.5821,31.1761,3.16,50.3393,69.6139,3.9988,0.0,7.045884042139592
1979-07-10,18.2813,35.6024,26.0236,30.6445,3.3979,51.0684,77.2005,2.5586,0.0,5.018369781743736
1979-07-11,12.8176,32.8728,25.653,28.8057,3.4057,49.1305,85.7742,1.6523,9.59717376,3.307519187107264
1979-07-12,10.365,31.3762,25.7262,27.4852,3.3403,47.3652,90.7373,2.2992,15.85783872,2.8482778112951173
1979-07-13,9.4144,30.938,24.9691,27.2404,3.2618,46.6814,89.5506,3.1864,18.37562976,2.7445677658386756
1979-07-14,14.5837,31.8542,25.223,27.7877,3.201,46.9365,85.3732,3.9448,10.23331104,4.019776788674706
1979-07-15,19.1244,33.8603,26.0784,29.7149,3.273,49.3985,78.2597,4.3316,0.0,5.36555732310594
1979-07-16,18.3683,33.8735,26.3537,30.0267,3.289,49.8208,77.2401,4.4259,0.0,5.300820551505
1979-07-17,18.7032,34.071,26.2522,29.6238,3.3188,49.5487,79.8058,3.727,0.0,5.177910091428615
1979-07-18,20.8795,36.3589,27.0738,30.6475,3.3458,50.7942,76.1497,2.8492,0.0,5.913444929395825
